twitter_id	cluster_id
682348952889470976	8578
682349028298887168	4435
682349031037767685	6043
682349040101666816	2361
682349093826478081	3709
682349096229814273	8578
682349115339051009	1580
682349116270227456	8578
682349205441134592	2108
682349222587437060	3709
682349233761042433	6117
682349234633453571	3709
682349268628324353	1580
682349272864546816	1580
682349278560399360	3709
682349290207993856	6640
682349356658262016	8578
682349362404548608	6640
682349375209758721	1580
682349379630592000	1580
682349474895769600	8578
682349492323127296	6640
682349561285836800	211
682349613890813953	5048
682349622430425088	10259
682349665505964033	3709
682349692336869376	1580
682349775535079425	8578
682349836784504833	10699
682349871307829248	8578
682349976270299140	8578
682350037884645377	10699
682350109062000645	4435
682350149952245762	3709
682350209976922112	8578
682350229899866112	211
682350300125114368	6640
682350308698226688	3709
682350337093709827	8578
682350347587862528	211
682350357910024192	4825
682350365044518913	10699
682350397797875712	10699
682350516769263616	8578
682350550789287937	211
682350558880083969	1580
682350564089425920	8578
682350602274344960	10259
682350627867987970	9240
682350650328506368	10499
682350654313107457	2108
682350720943808512	2966
682350779395620864	8578
682350833367953408	8578
682350923390255105	4435
682350939882287104	6117
682350980827078657	1580
682351042151985152	8578
682351052595838976	10699
682351064671195136	1580
682351179888758784	1580
682351203112644608	1580
682351215695544321	3709
682351268694765570	1580
682351275271401472	2108
682351281558667264	2361
682351289024561152	10259
682351313779318785	3709
682351354568912898	6640
682351409828859904	2108
682351442204733441	8578
682351475452948481	6117
682351493828194305	10699
682351609809080320	4435
682351655266811904	4825
682351677219930113	2966
682351680231456768	6640
682351707565731841	211
682351726553346052	1580
682351733528506369	4435
682351736233799681	4435
682351743057924096	2966
682351751664693250	8578
682351756144209921	2108
682351936578957312	8578
682351938021797889	211
682351939707863042	8578
682351960884940800	3709
682352037535870976	8578
682352061799882755	3709
682352096058982401	5048
682352106184044544	2322
682352116380360704	3709
682352119438008320	10259
682352154204631040	9240
682352176631427072	1580
682352201851908098	8578
682352213457514496	2966
682352231379787776	3709
682352254721114113	1580
682352256897937408	1580
682352258852483073	1580
682352263193587713	1580
682352363752058881	5048
682352374585896961	2108
682352464230793217	8578
682352499832041480	211
682352608024117248	4825
682352617834582017	3709
682352627510849537	1580
682352724101443584	6043
682352726316036098	2322
682352727494647808	8578
682352831253327872	4825
682352839985872896	6043
682352868754587649	3709
682352885313712130	8578
682352900287381508	10259
682352945061597185	8578
682352964401532928	8578
682352969065574400	211
682353001642733568	8578
682353027680997377	211
682353035234902017	2108
682353123965407232	3709
682353125097877504	10499
682353155884085248	10259
682353258770370560	8578
682353264151670788	8578
682353455084732416	4825
682353502144851968	8578
682353502920814592	4825
682353526526324737	1580
682353656717553664	4435
682353717392310272	10499
682353780642459648	4435
682353794965991424	211
682353802482171904	4435
682353843284389888	5048
682353925148831744	6640
682353984137498625	10699
682354085241204736	5048
682354125003190274	8578
682354128236982276	1580
682354152194834432	9240
682354155441229825	9240
682354165528555520	6043
682354205550587904	2966
682354209770070020	8578
682354325109235721	2108
682354428683370496	2966
682354444076494848	1580
682354448274960385	1580
682354450267303936	1580
682354453819867137	1580
682354536091140099	2361
682354598271647744	2108
682354632610459653	10259
682354637723283456	10259
682354661374988288	10259
682354684980518913	4435
682354687195123714	10259
682354720015532033	10259
682354864756764672	3709
682354898483150848	211
682354977378009088	8578
682355046001020930	3709
682355074518089728	4435
682355150489542656	6117
682355161210187776	10499
682355171607838720	6043
682355209113341953	2108
682355250339000320	6117
682355250582413313	211
682355324465065988	6321
682355372548583424	10259
682355448268361730	2966
682355486562381825	3709
682355529923080192	3709
682355559656468481	1580
682355573791309824	2108
682355707790929920	4825
682355759624130560	4435
682355795749650436	3709
682356046480957440	10499
682356080870060032	10499
682356112524460034	2361
682356119658999808	3709
682356218569056256	3709
682356252421271552	10259
682356371728297984	211
682356580222918656	3709
682356604612820992	10259
682356604642131968	6640
682356612967849985	9240
682356727241654272	9240
682356772007444481	2108
682356967373930496	1580
682356971245334529	1580
682356975653548032	1580
682356983182299136	1580
682356989335322624	1580
682357089033912321	2361
682357117588770817	211
682357158055391238	211
682357201382539268	6640
682357215911632897	10259
682357388352073728	8578
682357389035704320	6640
682357434749419520	8578
682357574977585152	1580
682357618296393728	10259
682357623916748800	2361
